scenario_id,scenario_name,experiment_mode,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_score,service_winner,service_winner_strategy,forecast_winner,forecast_winner_strategy,cash_winner,cash_winner_strategy,innovation_winner,innovation_winner_strategy,short_interpretation
1,Baseline,calibrated,Team 03,Premium quality,20638.87,Team 03,Premium quality,96.0,Team 05,Aggressive growth,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
2,Picky Customers,calibrated,Team 03,Premium quality,27802.59,Team 03,Premium quality,96.0,Team 05,Aggressive growth,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
3,Price Sensitive,calibrated,Team 03,Premium quality,28882.38,Team 03,Premium quality,88.0,Team 05,Aggressive growth,Team 02,Balanced S&OP,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
4,Tech Shift,calibrated,Team 04,Innovation leap,39193.58,Team 04,Innovation leap,100.0,Team 04,Innovation leap,Team 04,Innovation leap,Team 04,Innovation leap,Team 05,Aggressive growth,"Innovation leap benefited from technology pressure and future-product readiness, but its cash burden should still be inspected."
5,Beginner Boom,calibrated,Team 03,Premium quality,29541.97,Team 03,Premium quality,80.0,Team 05,Aggressive growth,Team 05,Aggressive growth,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
6,Premium Market,calibrated,Team 03,Premium quality,41999.04,Team 03,Premium quality,92.0,Team 05,Aggressive growth,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
7,Demand Recession,calibrated,Team 01,Cash conservative,9021.26,Team 01,Cash conservative,80.0,Team 04,Innovation leap,Team 01,Cash conservative,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
8,Demand Boom,calibrated,Team 05,Aggressive growth,27836.3,Team 05,Aggressive growth,96.0,Team 05,Aggressive growth,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 04,Innovation leap,"Aggressive growth captured demand upside, but the class should inspect whether expansion and debt made the result fragile."
9,Supply Shock,calibrated,Team 03,Premium quality,14278.97,Team 03,Premium quality,100.0,Team 03,Premium quality,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
10,Cost Inflation,calibrated,Team 01,Cash conservative,14151.66,Team 03,Premium quality,88.0,Team 05,Aggressive growth,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
11,Fast Lifecycle,calibrated,Team 04,Innovation leap,39008.72,Team 04,Innovation leap,100.0,Team 04,Innovation leap,Team 04,Innovation leap,Team 04,Innovation leap,Team 05,Aggressive growth,"Innovation leap benefited from technology pressure and future-product readiness, but its cash burden should still be inspected."
12,Warranty Sensitive,calibrated,Team 03,Premium quality,30426.36,Team 03,Premium quality,100.0,Team 03,Premium quality,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
13,Price War,calibrated,Team 03,Premium quality,30199.72,Team 03,Premium quality,80.0,Team 05,Aggressive growth,Team 05,Aggressive growth,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
14,Inventory Risk,calibrated,Team 01,Cash conservative,12078.57,Team 03,Premium quality,84.0,Team 03,Premium quality,Team 04,Innovation leap,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
15,Capacity Constraint,calibrated,Team 05,Aggressive growth,29249.62,Team 05,Aggressive growth,96.0,Team 05,Aggressive growth,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 04,Innovation leap,"Aggressive growth captured demand upside, but the class should inspect whether expansion and debt made the result fragile."
16,Forecast Volatility,calibrated,Team 02,Balanced S&OP,25100.13,Team 02,Balanced S&OP,88.0,Team 03,Premium quality,Team 03,Premium quality,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
17,Viral Demand,calibrated,Team 03,Premium quality,26154.73,Team 03,Premium quality,84.0,Team 05,Aggressive growth,Team 02,Balanced S&OP,Team 05,Aggressive growth,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
18,Cash Crunch,calibrated,Team 01,Cash conservative,7691.61,Team 03,Premium quality,80.0,Team 03,Premium quality,Team 04,Innovation leap,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
19,Premium Expansion,calibrated,Team 03,Premium quality,42950.19,Team 03,Premium quality,88.0,Team 05,Aggressive growth,Team 05,Aggressive growth,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
20,Unstable Market,calibrated,Team 03,Premium quality,17803.99,Team 03,Premium quality,100.0,Team 03,Premium quality,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
