scenario_id,scenario_name,sheet_name,experiment_mode,environment_represents,demand_multiplier,demand_growth_rate,beginner_share,mid_market_share,premium_share,price_sensitivity,quality_sensitivity,technology_shift_pressure,supply_risk,material_cost_multiplier,forecast_volatility,customer_pickiness,price_war_pressure,cash_stress_factor,service_sensitivity,inventory_holding_cost_pressure,warranty_sensitivity,lifecycle_speed,market_generation,premium_tech_adoption,mid_market_tech_adoption,beginner_price_pressure,late_surge_round,late_surge_multiplier,applied_parameter_notes,documented_not_engine_native,calibrated_strategy_logic
1,Baseline,01_Baseline,calibrated,"Balanced demand, normal cost, and moderate technology pressure.",1.0,0.07,0.25,0.5,0.25,1.0,0.6,0.16,Moderate,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6,0.16,2,0.78,0.58,0.62,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
2,Picky Customers,02_Picky_Customers,calibrated,Customers are selective and punish poor quality or weak service.,0.98,0.08,0.09,0.54,0.37,0.85,1.0,0.19,Low,0.9831,0.03,1.5,0.0,1.04,1.5,1.04,1.0,0.19,2,0.83,0.62,0.5325,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
3,Price Sensitive,03_Price_Sensitive,calibrated,Buyers trade down and compare prices aggressively.,1.35,0.09,0.43,0.48,0.09,1.75,0.2952,0.14,Moderate,0.84,0.04,0.82,0.45,0.98,0.82,0.98,0.2952,0.14,2,0.7,0.53,1.0,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
4,Tech Shift,04_Tech_Shift,calibrated,Customers move toward newer paddle technology generations.,1.22,0.1,0.03,0.56,0.41,0.95,0.693,0.88,Moderate,0.9747,0.05,1.05,0.05,1.06,1.05,1.06,0.693,0.88,4,1.0,0.88,0.6215,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
5,Beginner Boom,05_Beginner_Boom,calibrated,New players enter the market and beginner demand expands quickly.,1.85,0.19,0.47,0.46,0.07,1.25,0.3344,0.14,Moderate,0.82,0.08,0.88,0.25,1.0,0.88,1.0,0.3344,0.14,2,0.68,0.54,1.0,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
6,Premium Market,06_Premium_Market,calibrated,Premium buyers expand and accept higher prices for quality and technology.,1.35,0.11,0.01,0.48,0.51,0.58,1.0,0.28,Low,0.9438,0.04,1.22,0.0,1.05,1.22,1.05,1.0,0.28,2,1.0,0.66,0.479,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
7,Demand Recession,07_Demand_Recession,calibrated,Market demand contracts and growth turns negative.,0.72,-0.01,0.33,0.48,0.19,1.2,0.5152,0.14,Moderate,1.0265,0.07,0.92,0.2,1.08,0.92,1.08,0.5152,0.14,2,0.74,0.55,0.806,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
8,Demand Boom,08_Demand_Boom,calibrated,Demand grows quickly across the market.,2.1,0.23,0.23,0.53,0.24,0.9,0.6076,0.2,Low,0.943,0.04,0.98,0.0,1.04,0.98,1.04,0.6076,0.2,2,0.82,0.61,0.575,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
9,Supply Shock,09_Supply_Shock,calibrated,Supply becomes unreliable and materials become more expensive.,0.98,0.06,0.27,0.48,0.25,1.05,0.714,0.17,High,1.197,0.06,1.05,0.05,1.18,1.05,1.18,0.714,0.17,2,0.78,0.58,0.7065,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
10,Cost Inflation,10_Cost_Inflation,calibrated,Input costs rise even without severe supply disruption.,1.0,0.08,0.24,0.5,0.26,1.12,0.62,0.18,Moderate,1.2618,0.03,1.0,0.08,1.22,1.0,1.22,0.62,0.18,2,0.8,0.59,0.7324,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
11,Fast Lifecycle,11_Fast_Lifecycle,calibrated,Products age quickly because customer expectations shift.,1.22,0.09,0.18,0.52,0.3,0.96,0.77,0.94,Moderate,0.9863,0.08,1.1,0.08,1.08,1.1,1.08,0.77,0.94,4,1.0,0.9,0.6444,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
12,Warranty Sensitive,12_Warranty_Sensitive,calibrated,Defects become especially costly through reputation and warranty exposure.,1.0,0.07,0.05,0.54,0.41,0.86,1.0,0.21,High,1.0786,0.04,1.55,0.0,1.1,1.55,1.1,1.0,0.21,2,0.86,0.64,0.553,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
13,Price War,13_Price_War,calibrated,Competitors chase price-sensitive beginner and mid-market buyers.,1.75,0.11,0.51,0.46,0.03,1.9,0.2496,0.12,Moderate,0.8,0.07,0.78,0.8,1.0,0.78,1.0,0.2496,0.12,2,0.68,0.52,1.0,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
14,Inventory Risk,14_Inventory_Risk,calibrated,Demand is weak and mistakes leave teams with costly inventory.,0.82,0.03,0.28,0.5,0.22,1.08,0.57,0.17,Low,1.1106,0.1,0.95,0.15,1.12,0.95,1.12,0.57,0.17,2,0.78,0.58,0.756,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
15,Capacity Constraint,15_Capacity_Constraint,calibrated,Demand is strong but operating constraints limit fulfillment.,2.2,0.25,0.21,0.54,0.25,0.92,0.64,0.19,Low,0.9274,0.05,1.0,0.0,1.1,1.0,1.1,0.64,0.19,2,0.82,0.62,0.596,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
16,Forecast Volatility,16_Forecast_Volatility,calibrated,"Demand swings around a trend, creating plan-vs-actual errors.",1.22,0.09,0.22,0.53,0.25,1.0,0.64,0.2,Low,0.9043,0.3,1.0,0.05,1.06,1.0,1.06,0.64,0.2,2,0.81,0.61,0.674,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
17,Viral Demand,17_Viral_Demand,calibrated,A sudden late surge creates demand that was difficult to plan for.,1.4,0.23,0.19,0.54,0.27,0.9,0.62,0.24,Low,0.9229,0.18,1.0,0.0,1.04,1.0,1.04,0.62,0.24,2,0.84,0.63,0.585,7,1.55,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
18,Cash Crunch,18_Cash_Crunch,calibrated,"Cash is stressed by weak demand, higher cost, and supply risk.",0.88,0.04,0.25,0.52,0.23,1.18,0.64,0.18,High,1.186,0.09,1.0,0.2,1.28,1.0,1.28,0.64,0.18,2,0.78,0.58,0.825,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
19,Premium Expansion,19_Premium_Expansion,calibrated,Premium and mid-tier demand expand together.,1.55,0.15,0.0093,0.537,0.4537,0.78,1.0,0.26,Low,0.9229,0.05,1.18,0.0,1.04,1.18,1.04,1.0,0.26,2,1.0,0.68,0.509,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
20,Unstable Market,20_Unstable_Market,calibrated,"Demand, costs, quality expectations, and supply risk are all volatile.",1.02,0.08,0.23,0.49,0.28,1.1,0.828,0.32,High,1.1158,0.24,1.15,0.2,1.18,1.15,1.18,0.828,0.32,2,0.88,0.66,0.761,,,"The offline runner applies demand, growth, segment-share, material-cost, supply-risk, quality-sensitivity, technology, tech-adoption, beginner price-pressure, forecast-volatility, customer-pickiness, price-war, and cash-stress parameters through the existing simulator market report path.","Service sensitivity, inventory holding pressure, warranty sensitivity, and lifecycle speed are represented through supported service/fill-rate, material-cost, quality-sensitivity, technology, and demand-pressure fields rather than new engine constants.","Calibrated mode keeps the real engine but adjusts offline strategy presets by scenario so strategies are not identical across worlds. For example, innovation invests and scales more in Tech Shift, premium quality leans into QC in picky/premium markets, low-cost volume scales in price-sensitive markets, and cash conservative keeps its advantage in liquidity/supply shocks."
